name	price	recipeSize	effects	recipe
Squid Rice	760	Medium	M.ATK +5, ATK +5	Rice + Squid
Supreme Curry	8000	Large	All Stats +10, Adds 1 point of damage to the entire party’s attack, both magical and physical	Rainbow Curry + Milk Curry + Wine + Failed Dish + Disastrous Dish 
Sushi	240	Small	M.ATK +2	Rice + Sashimi
Sushi Bowl	890	Medium	SPD +6, ATK +6, M.ATK +6	Rice + Sashimi + Egg
Tekka Roll	1100	Medium	SPD +7, M.ATK +7, Adds one point of damage to user’s magical attacks	Rice + Tuna + Seaweed
Thieboudienne	1800	Medium	DEF +8, M.DEF +8, Allows for recovery items to heal for an extra point of health	Rice + Carrot + Pumpkin + Any Fish
Tomato Risotto	690	Small	ATK +5, SPD +5	Rice + Tomato
Vegetable Curry	1380	Medium	M.DEF +7, M.ATK +7, ATK +7	Rice + Curry Powder + Spinach
White Rice	200	Small	SPD +2	Rice
Yam Rice	400	Small	DEF +3	Yam + Rice
Yogurt Rice	1290	Medium	SPD +7, DEF +7, Prevents Poison	Rice + Yogurt + Onion
