name	price	recipeSize	effects	recipe
Orange Ice Cream	5300	Large	SPD +10, DEF +10, M.DEF +10, Revives entire party with 2 HP upon first KO	Ice + Milk + Egg + Sugar + Orange
Orange Pie	3400	Medium	Retains 1 HP upon first killing blow, SPD +8	Pie Crust + Orange + Butter + Egg
Orange Sherbert	1200	Small	DEF +5, Max HP +1	Ice + Milk + Orange
Orange Tart	570	Small	Adds 1 point of recovery to healing spells	Flour + Orange
Pancakes	1570	Medium	DEF +6, SPD +6	Flour + Milk + Honey
Peach Pie	3180	Medium	SPD +8, ATK +8, Changes one HIT on the enemy’s line to MISS	Pie Crust + Peach + Butter + Egg
Peach Tart	440	Small	SPD +2	Flour + Peach
Pie Crust	340	Small	DEF +2	Flour + Butter
Pineapple Cake	2460	Medium	Adds 50 to EXP earned	Flour + Pineapple + Milk + Egg
Pound Cake	890	Small	SPD +3	Flour + Egg
Pudding	920	Small	DEF +3, ATK +3	Milk + Egg
Pudding a la Mode	4900	Large	SPD +10, M.DEF +10, Max HP +3, Prevents all ailments	Milk + Strawberry + Kiwi + Banana + Egg
Pumpkin Pie	3100	Medium	Max HP +2, DEF +8, Subtracts 1 point of damage from Earth attacks	Pie Crust + Pumpkin + Butter + Egg
Pumpkin Pudding	4100	Large	DEF +9, SPD +9, ATK +9, Max HP +3	Milk + Egg + Pumpkin + Honey
Raspberry Pie	3800	Large	SPD +9, ATK +9, Prevents all ailments	Pie Crust + Raspberry + Butter + Egg
Shortcake	1370	Medium	Prevents Poison and Paralysis	Flour + Strawberry
Soft Chocolates	660	Small	M.DEF +2	Milk + Chocolate
Soft-Serve Ice Cream	1000	Small	DEF +4, Subtracts 1 point of damage from water attacks	Ice + Milk
Spinach Cake	4670	Large	M.DEF +9, M.ATK +9, DEF +9, ATK +	Flour + Egg + Butter + Milk + Spinach
Strawberry Ice Cream	5430	Large	ATK +10, M.ATK +10, SPD +10, Adds 1 point of damage to physical attacks	Ice + Milk + Egg + Sugar + Strawberry
Vanilla Ice Cream	1300	Small	DEF +5, SPD +5	Ice + Milk + Egg
Vegetable Cake	1120	Small	M.DEF +4, M.ATK +4	Flour + Any Vegetable
Watermelon Sherbet	1100	Small	SPD +4, Grants Water attribute	Ice + Watermelon
Watermelon Tart	1480	Medium	Grants Water attribute	Flour + Watermelon
Yam Cake	4350	Large	SPD +9, ATK +9, DEF +9, Revives with 2 HP upon first KO	Flour + Egg + Butter + Milk + Yam
Yam Dessert	400	Small	Max HP +1	Flour + Yam
Yogurt Pie	700	Small	Prevents Poison	Pie Crust + Yogurt
